x,Crime,Graffiti Requests
1,4822,1690
2,3921,2186
3,4879,1696
4,2233,1753
5,1825,2026
6,7563,2513
7,4856,2360
8,11199,1266
9,315,35
10,1310,512
11,1393,787
12,592,230
13,1004,446
14,2854,2493
15,4061,3381
16,3790,4410
17,1887,738
18,775,268
19,6173,6612
20,1954,1958
21,3234,5042
22,6681,7940
23,10854,2016
24,9326,7434
25,20945,801
26,6587,188
27,5968,295
28,9129,2179
29,10103,629
30,5577,11165
31,3178,7601
32,7582,1240
33,1832,560
34,1497,538
35,2456,91
36,760,42
37,1212,42
38,3965,167
39,1665,82
40,3387,87
41,1854,223
42,5209,152
43,11405,373
44,7083,115
45,1700,62
46,6343,882
47,524,4
48,1890,171
49,8706,174
50,1150,32
51,2239,680
52,1648,2298
53,5639,305
54,1476,1
55,727,321
56,2333,2079
57,1120,4031
58,3114,7536
59,1329,3996
60,2144,2872
61,6613,2928
62,1320,3053
63,3082,5831
64,1266,1024
65,2410,2765
66,8475,3144
67,9766,284
68,8740,191
69,8525,161
70,2661,1193
71,9198,225
72,1172,70
73,3754,57
74,659,110
75,2581,48
76,1821,24
77,3181,1582